SUBSTR	PHONE
ch	x
au	a_u
eu	E_u
ou	o_u
bě	b j E
fě	f j E
pě	p j E
vě	v j E
dě	J\ E
ně	J E
mě	m J E
tě	c E
di	J\ I
ni	J I
ti	c I
dí	J\ i:
ní	J i:
tí	c i:
dz	d_z
dž	d_Z
qu	k v
a	a
b	b
c	t_s
d	d
e	E
f	f
g	g
h	h\
i	I
j	j
k	k
l	l
m	m
n	n
o	o
p	p
q	k v
r	r
s	s
t	t
u	u
v	v
w	v
x	k s
y	I
z	z
á	a:
é	E:
í	i:
ó	o:
ú	u:
ý	i:
č	t_S
ď	J\
ň	J
ř	P\
š	S
ť	c
ů	u:
ž	Z
# - is just a technical symbol used in exceptions.tsv to prevent
# CSPs like voicing assimilation, hiatus insertion, merging of
# two vowels into a diphthong etc.
-	-
