to	to
a	a
no	no
tak	tak
je	je
že	že
jo	jo
jako	jako
tam	tam
se	se
na	na
já	já
sem	sem
ale	ale
si	si
v	f
ty	ti
ne	ne
co	co
jak	jak
už	uš
s	s
prostě	prosťe
ten	ten
nebo	nebo
do	do
z	s
sme	sme
dyž	diš
taky	taki
tady	tadi
bylo	bilo
eště	ešťe
by	bi
toho	toho
asi	asi
takže	tagže
za	za
ta	ta
pak	pak
třeba	třeba
teď	teť
nevim	nevim
teda	teda
sou	sou
má	má
tu	tu
byl	bil
von	von
tom	tom
mně	mňe
ti	ťi
bude	bude
něco	ňeco
on	on
víš	víš
byla	bila
mi	mi
ho	ho
mě	mňe
jenom	jenom
my	mi
bych	bix
takový	takoví
u	u
uplně	uplňe
i	i
voni	voňi
fakt	fakt
k	k
mu	mu
mám	mám
právě	právje
máš	máš
když	gdiš
vona	vona
po	po
nic	ňic
jí	jí
protože	protože
takle	takle
měl	mňel
aby	abi
ani	aňi
jesi	jesi
potom	potom
vlasně	vlasňe
ona	ona
těch	ťex
ve	ve
ňáký	ňákí
zase	zase
až	aš
oni	oňi
vole	vole
vůbec	vúbec
vo	vo
teďka	teťka
tim	ťim
o	o
dycky	dicki
ňák	ňák
pro	pro
měli	mňeli
tři	tři
byli	bili
zas	zas
tý	tí
všechno	fšexno
furt	furt
měla	mňela
neni	neňi
kde	gde
dva	dva
tomu	tomu
moc	moc
prtože	prtože
jakoby	jakobi
řikám	řikám
ja	ja
dobrý	dobrí
vono	vono
viď	viť
dyť	diť
dvě	dvje
někde	ňegde
tě	ťe
ano	ano
vod	vot
normálně	normálňe
jim	jim
řikal	řikal
řikala	řikala
takovej	takovej
zme	zme
než	neš
možná	možná
aha	aha
ste	ste
byly	bili
té	té
mít	mít
není	neňí
dělat	ďelat
dobře	dobře
ňákej	ňákej
taková	taková
od	ot
mysim	misim
maj	maj
nám	nám
kolik	kolik
hele	hele
nás	nás
nevím	nevím
jakože	jakože
máme	máme
docela	docela
tím	ťím
hodně	hodňe,hoďňe
ze	ze
proč	proč
tož	toš
jasně	jasňe
lidi	liďi
budu	budu
aj	aj
pět	pjet
půl	púl
někdo	ňegdo
strašně	strašňe
přes	přes
musí	musí
bejt	bejt
kdo	gdo
ještě	ješťe
ať	ať
jeden	jeden
de	de
ji	ji
mam	mam
den	den
vim	vim
stejně	stejňe
určitě	určiťe
prže	prže
před	přet
jedno	jedno
vy	vi
dělá	ďelá
akorát	akorát
víc	víc
doma	doma
počkej	počkej
ňákou	ňákou
takové	takové
kdy	gdi
šak	šak
jinak	jinak
toto	toto
hrozně	hrozňe
todle	todle
budou	budou
viš	viš
jednou	jednou
podle	podle
dyby	dibi
všichni	fšixňi
mají	mají
aspoň	aspoň
někdy	ňegdi
vlastně	vlastňe,vlasťňe
řiká	řiká
hlavně	hlavňe
neska	neska
říkal	říkal
musíš	musíš
nemá	nemá
nějak	ňejak
chtěl	xťel
který	kterí
dvacet	dvacet
věci	vjeci
trošku	trošku
říkala	říkala
myslim	mislim
ní	ňí
dost	dost
jít	jít
jedna	jedna
deset	deset
pořád	pořát
snad	snat
tou	tou
budeš	budeš
spíš	spíš
první	prvňí
přesně	přesňe
