MATCH	REWRITE
# HOWTO: if only a substring of the MATCH regex should be rewritten,
# wrap it in a capturing group named x: (?P<x>...); also useful if
# you need to add anchors and other special characters around the
# substring that should be rewritten
akusti	akusty
augustin	augustyn
besti	besty
charakteristi	charakterysty
(?P<x>cyklisti).	cyklisty
destin	destyn
drasti	drasty
dynasti	dynasty
(?P<x>fantasti).	fantasty
festival	festyval
instinkt	instynkt
instit	instyt
investi	investy
justi	justy
logisti	logisty
mysti	mysty
(?P<x>nacionalisti).	nacionalisty
(?P<x>nacisti).	nacisty
prestiž	prestyž
palestin	palestyn
plasti	plasty
prostitu	prostytu
(?P<x>realisti).	realisty
(?P<x>sarkasti).	sarkasty
sebastian	sebastyan
(?P<x>slávisti).	slávisty
(?P<x>socialisti).	socialisty
(?P<x>statisti).	statysty
stimul	stymul
sugesti	sugesty
(?P<x>teroristi).	teroristy
textil	textyl
(?P<x>turisti).	turisty
vestibul	vestybul
alternativ	alternatyv
aromati	aromaty
(?P<x>automati).	automaty
autoritativ	autoritatyv
battist	battyst
charitativ	charitatyv
(?P<x>demokrati).	demokraty
dramati	dramaty
gramati	gramaty
informati	informaty
inovativ	inovatyv
inspirativ	inspiratyv
klimati	klimaty
kompatibil	kompatybil
konzervativ	konzervatyv
kreativ	kreatyv
kvalitativ	kvalitatyv
legislativ	legislatyv
lukrativ	lukratyv
matemati	matematy
matik	matyk
narativ	naratyv
negativ	negatyv
normativ	normatyv
operativ	operatyv
pneumatik	pneumatyk
privatiz	privatyz
problemati	problematy
provokativ	provokatyv
relativ	relatyv
reprezentativ	reprezentatyv
(?P<x>stati)[kcč]	staty
sympati	sympaty
systemati	systematy
temati	tematy
témati	tématy
vatikán	vatykán
dillí	dylí
dia	dya
die	dye
diferenc	dyferenc
digi	dygi
dikt	dykt
dim	dym
dip	dyp
diri	dyri
disci	dysci
disk	dysk
disp	dysp
distr	dystr
dividend	dyvidend
diviz	dyviz
diář	dyář
aktiv	aktyv
arkti	arkty
antarkti	antarkty
atrakti	atrakty
destrukti	destrukty
detekti	detekty
efektiv	efektyv
fakti	fakty
